año;fluencia medida;fluencia calculada;uno menos gamma index
2018;1.3.6.1.4.1.9590.100.1.2.176271507812019723214654731873957559266;1.3.6.1.4.1.9590.100.1.2.98482871412535705439682110980691146050;25.9246
2018;1.3.6.1.4.1.9590.100.1.2.52612661210540166004640762041801376429;1.3.6.1.4.1.9590.100.1.2.4295878313288935929541418594160816687;25.7815
2018;1.3.6.1.4.1.9590.100.1.2.312240257011162596919244896420207996430;1.3.6.1.4.1.9590.100.1.2.366463787612511277204973190560919095489;25.745
2018;1.3.6.1.4.1.9590.100.1.2.134112065912461862539243903272486814388;1.3.6.1.4.1.9590.100.1.2.15366584312310209630479661421226725939;25.5168
2018;1.3.6.1.4.1.9590.100.1.2.192309331611545033431373410810393125343;1.3.6.1.4.1.9590.100.1.2.401483625911279001821613815660600956732;25.502
2018;1.3.6.1.4.1.9590.100.1.2.353626228410610354223534639572841089710;1.3.6.1.4.1.9590.100.1.2.185569260212701275521310460181146130974;25.2994
2018;1.3.6.1.4.1.9590.100.1.2.294681980712236623506759213023620650336;1.3.6.1.4.1.9590.100.1.2.404584230310491794016149285161245810464;25.1268
2018;1.3.6.1.4.1.9590.100.1.2.398111481412626408211640784650166932869;1.3.6.1.4.1.9590.100.1.2.107564063212960954717171383234221246130;24.9557
2018;1.3.6.1.4.1.9590.100.1.2.415177246810928120235046463300489524185;1.3.6.1.4.1.9590.100.1.2.337359373911402535136909777260741635741;24.8472
2018;1.3.6.1.4.1.9590.100.1.2.421680522811929229912459537014066158004;1.3.6.1.4.1.9590.100.1.2.177238078411476327737509587633365114743;24.7318
2018;1.3.6.1.4.1.9590.100.1.2.85665473212348417828534215023413003139;1.3.6.1.4.1.9590.100.1.2.256083707012867305204985348300658935227;24.668
2018;1.3.6.1.4.1.9590.100.1.2.155968233813917673612295269143239818392;1.3.6.1.4.1.9590.100.1.2.382840881211044614442347754504230303014;24.1049
2018;1.3.6.1.4.1.9590.100.1.2.318635291013440802105709948522810800998;1.3.6.1.4.1.9590.100.1.2.53209409912197237040211045514191680850;23.902
2018;1.3.6.1.4.1.9590.100.1.2.368783393712893555327242559163183672772;1.3.6.1.4.1.9590.100.1.2.65620616811839823716640298803836023372;23.8556
2018;1.3.6.1.4.1.9590.100.1.2.340069726613946702637759146441229735906;1.3.6.1.4.1.9590.100.1.2.274599525312871023528625978122872941118;23.7573
2018;1.3.6.1.4.1.9590.100.1.2.359613929712630209334350982701485715784;1.3.6.1.4.1.9590.100.1.2.40265098412570356932042589713683148481;23.5882
2019;1.3.6.1.4.1.9590.100.1.2.121300542412282741826544626250454552888;1.3.6.1.4.1.9590.100.1.2.204501918012108232212738656613033298824;23.559
2018;1.3.6.1.4.1.9590.100.1.2.234343297813083764615787770062880787985;1.3.6.1.4.1.9590.100.1.2.340032823212792481229360129612212601843;23.2533
2019;1.3.6.1.4.1.9590.100.1.2.217158025613638924914581625683995559634;1.3.6.1.4.1.9590.100.1.2.298273930813767776511942805882441996444;22.9531
2018;1.3.6.1.4.1.9590.100.1.2.215716625811072919626088884882982674331;1.3.6.1.4.1.9590.100.1.2.100451436812099723305911138871083580161;22.8031
2018;1.3.6.1.4.1.9590.100.1.2.63689096212161814002044701813233472522;1.3.6.1.4.1.9590.100.1.2.95138802911667834708258298063239948035;22.6847
2018;1.3.6.1.4.1.9590.100.1.2.338378196713320359825513921901530835501;1.3.6.1.4.1.9590.100.1.2.353667305512743560101913688734136976151;22.4296
2018;1.3.6.1.4.1.9590.100.1.2.20550012513934625923643744103036238389;1.3.6.1.4.1.9590.100.1.2.201565266610503078620418943153858234425;22.0071
2018;1.3.6.1.4.1.9590.100.1.2.161893442213702727433956850321393342116;1.3.6.1.4.1.9590.100.1.2.427801554412712987721456846650027575218;22.007
2018;1.3.6.1.4.1.9590.100.1.2.296667755711242815427119356451198637517;1.3.6.1.4.1.9590.100.1.2.191698697311808087335664915232814916860;21.8771
2018;1.3.6.1.4.1.9590.100.1.2.409834049412087995422897427510179643991;1.3.6.1.4.1.9590.100.1.2.80199119712564827425980456053651991219;21.8656
2018;1.3.6.1.4.1.9590.100.1.2.406316793113841557915058656472201805425;1.3.6.1.4.1.9590.100.1.2.375330683211800906230263699812503246291;21.8333
2019;1.3.6.1.4.1.9590.100.1.2.3296572011976576330926580612981218624;1.3.6.1.4.1.9590.100.1.2.319130792513524397733939480592628645941;21.6653
2018;1.3.6.1.4.1.9590.100.1.2.166463041112247333231976905073387580993;1.3.6.1.4.1.9590.100.1.2.148013436311933487624231358822260850638;21.6238
2018;1.3.6.1.4.1.9590.100.1.2.122399237212785330629682139433428582335;1.3.6.1.4.1.9590.100.1.2.423934478013613584106135517484108446728;21.5751
2018;1.3.6.1.4.1.9590.100.1.2.122399237212785330629682139433428582335;1.3.6.1.4.1.9590.100.1.2.423934478013613584106135517484108446728;21.5751
2018;1.3.6.1.4.1.9590.100.1.2.69109242612717711339457383730857437185;1.3.6.1.4.1.9590.100.1.2.5174733811582971421987132642154237389;21.5167
2019;1.3.6.1.4.1.9590.100.1.2.387310699311953109431090295190928876177;1.3.6.1.4.1.9590.100.1.2.178293019211890548140017668160577501945;21.4942
2018;1.3.6.1.4.1.9590.100.1.2.65700225811510251735146636092531152392;1.3.6.1.4.1.9590.100.1.2.161439619011278918118092776112534305920;21.4743
2018;1.3.6.1.4.1.9590.100.1.2.52975715013712740608013966360841646973;1.3.6.1.4.1.9590.100.1.2.187130570012921570910466935293449924878;21.4592
2019;1.3.6.1.4.1.9590.100.1.2.344387471312404868301322789141874231731;1.3.6.1.4.1.9590.100.1.2.388734573812583835314430483491530001949;21.426
2019;1.3.6.1.4.1.9590.100.1.2.69259380511089863514161785883065409896;1.3.6.1.4.1.9590.100.1.2.63010070312374431108012776143542984320;21.3963
