año;fluencia medida;fluencia calculada;uno menos gamma index
2019;1.3.6.1.4.1.9590.100.1.2.106363004312018285639264237160955287698;1.3.6.1.4.1.9590.100.1.2.250681179813913418312485712811639382340;0.12682
2019;1.3.6.1.4.1.9590.100.1.2.117111588412865729801177307310520527927;1.3.6.1.4.1.9590.100.1.2.189485955411711008602298833212808936348;0.0049411
2019;1.3.6.1.4.1.9590.100.1.2.190727149413805451333206478261481414648;1.3.6.1.4.1.9590.100.1.2.266447459412025533907550130074057505168;0.54195
2019;1.3.6.1.4.1.9590.100.1.2.211756715011326913522973909883744936800;1.3.6.1.4.1.9590.100.1.2.310552899912770926928572980550460292364;0
2019;1.3.6.1.4.1.9590.100.1.2.225990696211768600614109735753330260661;1.3.6.1.4.1.9590.100.1.2.384142289612482598518084658210846605065;0.40644
2019;1.3.6.1.4.1.9590.100.1.2.29163646913403002310235744052645611307;1.3.6.1.4.1.9590.100.1.2.314109839011190398406598347673195529093;0
2019;1.3.6.1.4.1.9590.100.1.2.318111994212799857005935171852828115164;1.3.6.1.4.1.9590.100.1.2.143145627012210047237175924952043276379;0
2019;1.3.6.1.4.1.9590.100.1.2.330444971010965552930233908903063763154;1.3.6.1.4.1.9590.100.1.2.342904273911118122739530001230463459307;0.63367
2019;1.3.6.1.4.1.9590.100.1.2.421549189812944389505162513000826861905;1.3.6.1.4.1.9590.100.1.2.86085155111790019324741195981690850786;0.02779
2019;1.3.6.1.4.1.9590.100.1.2.427905022913732019723709695262125386736;1.3.6.1.4.1.9590.100.1.2.398319425110646636400816283500948177385;0.3682
2019;1.3.6.1.4.1.9590.100.1.2.342854140211669747939854885124058913710;1.3.6.1.4.1.9590.100.1.2.121144172813816296236123838971535175214;0.17531
2019;1.3.6.1.4.1.9590.100.1.2.381675495312955992116168572530385493906;1.3.6.1.4.1.9590.100.1.2.378149831812545674138409770374175196938;0.32244
2019;1.3.6.1.4.1.9590.100.1.2.384211731013575056733411790202193984219;1.3.6.1.4.1.9590.100.1.2.162016777813266403636728257511979252490;0.19862
2019;1.3.6.1.4.1.9590.100.1.2.395389317212135515531735909693324428434;1.3.6.1.4.1.9590.100.1.2.154339861212399179509614404050056378595;0.27234
2019;1.3.6.1.4.1.9590.100.1.2.49908082410502821603476023252182849617;1.3.6.1.4.1.9590.100.1.2.295030117612110217114744613740033837565;0.52831
2019;1.3.6.1.4.1.9590.100.1.2.157984229712709753318035997893318422587;1.3.6.1.4.1.9590.100.1.2.255052206611700788638057404561717301829;0.073102
2019;1.3.6.1.4.1.9590.100.1.2.231780575310785990613900312890646775578;1.3.6.1.4.1.9590.100.1.2.302383480412871360932944308673252474093;0.02722
2019;1.3.6.1.4.1.9590.100.1.2.336428094011386848442508115354285944135;1.3.6.1.4.1.9590.100.1.2.81823716011381757814089952421167364228;0.05948
2019;1.3.6.1.4.1.9590.100.1.2.91462520713869930608277441823915328274;1.3.6.1.4.1.9590.100.1.2.227327449612551826916026244183280970593;0.25447
2019;1.3.6.1.4.1.9590.100.1.2.95099262611151451528078649923991479427;1.3.6.1.4.1.9590.100.1.2.156640277413327235505568992300166341098;0.24642
2019;1.3.6.1.4.1.9590.100.1.2.103291078813027775242637628413450553641;1.3.6.1.4.1.9590.100.1.2.101881783111453298834689919044196651089;1.8635
2019;1.3.6.1.4.1.9590.100.1.2.256760524412390563910148770632337212068;1.3.6.1.4.1.9590.100.1.2.415905246211145166842869899993427674080;1.1115
2019;1.3.6.1.4.1.9590.100.1.2.413228127711066035327571667833801742902;1.3.6.1.4.1.9590.100.1.2.16606484110272152338191085060192590675;3.5995
2019;1.3.6.1.4.1.9590.100.1.2.78823262311762158510607397364094214441;1.3.6.1.4.1.9590.100.1.2.202748059010331014912151807151383567784;0.75483
2019;1.3.6.1.4.1.9590.100.1.2.98382316412892638429358560474054925061;1.3.6.1.4.1.9590.100.1.2.378010056512735246126390744773232014621;0.53642
2019;1.3.6.1.4.1.9590.100.1.2.107512047212378733525107859273053986302;1.3.6.1.4.1.9590.100.1.2.191490080611829395019797295500820037115;0.008789
2019;1.3.6.1.4.1.9590.100.1.2.136879191911946592803656856483164116861;1.3.6.1.4.1.9590.100.1.2.244626336112060554801412246014122067328;0.026186
2019;1.3.6.1.4.1.9590.100.1.2.286440820013503669331600242463401363080;1.3.6.1.4.1.9590.100.1.2.289633779512530678136235521783080091111;0.034469
2019;1.3.6.1.4.1.9590.100.1.2.302202294413273435706254424770048573925;1.3.6.1.4.1.9590.100.1.2.59039948513051593041537959712526904960;0.76344
2019;1.3.6.1.4.1.9590.100.1.2.362954633810639543801129880762489335803;1.3.6.1.4.1.9590.100.1.2.368381759213289851620800142701802460115;0.14151
2019;1.3.6.1.4.1.9590.100.1.2.406035562211517067105143517620109627902;1.3.6.1.4.1.9590.100.1.2.318623678911956521000906932942449085317;0.047069
2019;1.3.6.1.4.1.9590.100.1.2.409131409612772078137880692780873761939;1.3.6.1.4.1.9590.100.1.2.115613102212390710105411920943339242542;0.070183
2019;1.3.6.1.4.1.9590.100.1.2.135951099910828420612340059041684788011;1.3.6.1.4.1.9590.100.1.2.276939911810403744526938508113849747746;0.026518
2019;1.3.6.1.4.1.9590.100.1.2.162700352811441528827642814921250609697;1.3.6.1.4.1.9590.100.1.2.374369276611217881818606209654068345208;0.5685
2019;1.3.6.1.4.1.9590.100.1.2.169685793112936685435142224930511570933;1.3.6.1.4.1.9590.100.1.2.212167821911296698933939040342629309811;0.18612
2019;1.3.6.1.4.1.9590.100.1.2.291885843311653450011069520833188427203;1.3.6.1.4.1.9590.100.1.2.397264184713803980006158378400886537018;0.058201
