año;fluencia medida;fluencia calculada;uno menos gamma index
2018;﻿1.3.6.1.4.1.9590.100.1.2.176271507812019723214654731873957559266;1.3.6.1.4.1.9590.100.1.2.98482871412535705439682110980691146050;25.9246
2018;1.3.6.1.4.1.9590.100.1.2.312240257011162596919244896420207996430;1.3.6.1.4.1.9590.100.1.2.366463787612511277204973190560919095489;25.745
2018;1.3.6.1.4.1.9590.100.1.2.353626228410610354223534639572841089710;1.3.6.1.4.1.9590.100.1.2.185569260212701275521310460181146130974;25.2994
2018;1.3.6.1.4.1.9590.100.1.2.85665473212348417828534215023413003139;1.3.6.1.4.1.9590.100.1.2.256083707012867305204985348300658935227;24.668
2018;1.3.6.1.4.1.9590.100.1.2.155968233813917673612295269143239818392;1.3.6.1.4.1.9590.100.1.2.382840881211044614442347754504230303014;24.1049
2018;1.3.6.1.4.1.9590.100.1.2.49592613911854862233588614872053855167;1.3.6.1.4.1.9590.100.1.2.176612253711399230601496564793874448079;24.1016
2018;1.3.6.1.4.1.9590.100.1.2.109005514213863645305453321083130996235;1.3.6.1.4.1.9590.100.1.2.118758657712234378615200426353707796258;22.3057
2018;1.3.6.1.4.1.9590.100.1.2.296667755711242815427119356451198637517;1.3.6.1.4.1.9590.100.1.2.191698697311808087335664915232814916860;21.8771
2018;1.3.6.1.4.1.9590.100.1.2.166463041112247333231976905073387580993;1.3.6.1.4.1.9590.100.1.2.148013436311933487624231358822260850638;21.6238
2018;1.3.6.1.4.1.9590.100.1.2.122399237212785330629682139433428582335;1.3.6.1.4.1.9590.100.1.2.423934478013613584106135517484108446728;21.5751
2018;1.3.6.1.4.1.9590.100.1.2.65700225811510251735146636092531152392;1.3.6.1.4.1.9590.100.1.2.161439619011278918118092776112534305920;21.4743
2018;1.3.6.1.4.1.9590.100.1.2.424430889513818198502312936002699002212;1.3.6.1.4.1.9590.100.1.2.56138190712212595303905237833483179678;20.3842
2018;1.3.6.1.4.1.9590.100.1.2.46802445111687121322760482944065192634;1.3.6.1.4.1.9590.100.1.2.90912039012901764425001440530654627058;20.3162
2018;1.3.6.1.4.1.9590.100.1.2.219157379311832173104398852440023967106;1.3.6.1.4.1.9590.100.1.2.317223078411146525724544021760190326874;20.2634
