año;fluencia medida;fluencia calculada;uno menos gamma index
2017;﻿1.3.6.1.4.1.9590.100.1.2.274464319512818916227745622310954214190;1.3.6.1.4.1.9590.100.1.2.76296562210273102234514513081279675861;25.8383
2017;1.3.6.1.4.1.9590.100.1.2.130397187213715440923834369304078461935;1.3.6.1.4.1.9590.100.1.2.305566764611764142308909807680444966444;25.6666
2017;1.3.6.1.4.1.9590.100.1.2.241419412212464280928689289063020486601;1.3.6.1.4.1.9590.100.1.2.164444132313529117006622160803985081915;25.6614
2017;1.3.6.1.4.1.9590.100.1.2.231106527012450032010158859680546068170;1.3.6.1.4.1.9590.100.1.2.286228838711112246517256352323207904326;25.4862
2017;1.3.6.1.4.1.9590.100.1.2.313271128311659184038731782833891754470;1.3.6.1.4.1.9590.100.1.2.167676291011253953605396760453476033689;25.3952
2017;1.3.6.1.4.1.9590.100.1.2.265851938512918000205110864873773669054;1.3.6.1.4.1.9590.100.1.2.149022879910701913634657645393318300150;25.2834
2017;1.3.6.1.4.1.9590.100.1.2.305629949212770838101707419021735044701;1.3.6.1.4.1.9590.100.1.2.52894384811909735810447569273712870284;25.2421
2017;1.3.6.1.4.1.9590.100.1.2.354609297411084684602186221392506430057;1.3.6.1.4.1.9590.100.1.2.232349859211930325525025068940383853299;25.1784
2017;1.3.6.1.4.1.9590.100.1.2.105187498113234947913920508351976896984;1.3.6.1.4.1.9590.100.1.2.334819346413385156941277725622793283235;25.1233
2017;1.3.6.1.4.1.9590.100.1.2.280230779512803700911298136472151984188;1.3.6.1.4.1.9590.100.1.2.251201240813991046122515462832474048937;24.9186
2017;1.3.6.1.4.1.9590.100.1.2.216411177112291440341033512200659074239;1.3.6.1.4.1.9590.100.1.2.68178121113821334525403915874018401462;24.8969
2017;1.3.6.1.4.1.9590.100.1.2.157081261912513694433505511682942946502;1.3.6.1.4.1.9590.100.1.2.59806976311820137306172520190592339031;24.6179
2017;1.3.6.1.4.1.9590.100.1.2.93663146313077340112489911150569851263;1.3.6.1.4.1.9590.100.1.2.169223791310174119706722285071393552054;24.5185
2017;1.3.6.1.4.1.9590.100.1.2.169563434811957079424203598601937160896;1.3.6.1.4.1.9590.100.1.2.245905548511407008500664414021414411179;24.4633
2017;1.3.6.1.4.1.9590.100.1.2.313795137812904235608816552212477486092;1.3.6.1.4.1.9590.100.1.2.366643633412492259917936211473141936648;24.3373
2017;1.3.6.1.4.1.9590.100.1.2.255728346213398195117666520654045993935;1.3.6.1.4.1.9590.100.1.2.409205844610741171931624157580777774309;24.294
